title,releaseDate,productionCompany
Famous Fred,1996-12-24,TVC London
The Old Lady and the Pigeons,1999-09-19,Les Armateurs Django Films Folimage BBC Téléfilm Canada
Redux Riding Hood,1997-08-05,Walt Disney Television Animation Toonz Animation Ltd New Zealand
Kundun,1997-12-25,Touchstone Pictures
Kundun,1997-12-25,Cappa Productions
Kundun,1997-12-25,De Fina Productions
Anastasia,1997-11-14,Fox Family Films Fox Animation Studios
Men in Black,1997-07-02,Columbia Pictures
Men in Black,1997-07-02,Amblin Entertainment
Men in Black,1997-07-02,Parkes/MacDonald Productions
My Best Friend's Wedding,1997-06-20,TriStar Pictures Zucker Brothers Productions
Hercules,1997-06-13,Walt Disney Feature Animation
Con Air,1997-06-06,Touchstone Pictures
Con Air,1997-06-06,Jerry Bruckheimer Films
Face/Off,1997-06-27,Touchstone Pictures
Face/Off,1997-06-27,Permut Presentations
The Fifth Element,1997-05-07,Gaumont
Air Force One,1997-07-21,Columbia Pictures
Air Force One,1997-07-21,Beacon Pictures
Air Force One,1997-07-21,Radiant Productions
Contact,1997-07-11,South Side Amusement Company
Gattaca,1997-10-24,Columbia Pictures
Gattaca,1997-10-24,Jersey Films
Oscar and Lucinda,1997-12-31,AFFC Dalton Films Meridian Films
The Lost World: Jurassic Park,1997-05-19,Universal Pictures
The Lost World: Jurassic Park,1997-05-19,Amblin Entertainment
Starship Troopers,1997-11-04,TriStar Pictures
Starship Troopers,1997-11-04,Touchstone Pictures
Shakespeare in Love,1998-12-11,The Bedford Falls Company
Elizabeth,1998-09-08,PolyGram Filmed Entertainment
Elizabeth,1998-09-08,Kapurfilm
Elizabeth,1998-09-08,Working Title Films
Elizabeth,1998-09-08,Channel Four Films
Elizabeth,1998-09-08,ProsonFilm
Life Is Beautiful,1997-12-20,Melampo Cinematografica
Saving Private Ryan,1998-07-24,Amblin Entertainment
Saving Private Ryan,1998-07-24,Mutual Film Company
The Thin Red Line,1998-12-25,Fox 2000 Pictures
The Thin Red Line,1998-12-25,Phoenix Pictures
The Thin Red Line,1998-12-25,Geisler-Roberdeau
The Truman Show,1998-06-01,Scott Rudin Productions
Gods and Monsters,1998-01-21,Showtime
Gods and Monsters,1998-01-21,Flashpoint
Gods and Monsters,1998-01-21,BBC Films
Gods and Monsters,1998-01-21,Regent Entertainment
Affliction,1997-08-28,Largo Entertainment
Affliction,1997-08-28,Reisman Productions
Affliction,1997-08-28,Kingsgate Films
American History X,1998-10-30,New Line Cinema
American History X,1998-10-30,The Turman -Morrissey Company
Central Station,1998-01-16,VideoFilmes
Central Station,1998-01-16,Riofilme
Central Station,1998-01-16,MACT Productions
Central Station,1998-01-16,E.S.R. Films L.T.D.
Central Station,1998-01-16,Cinematográfica Superfilmes
A Civil Action,1998-12-25,Touchstone Pictures
A Civil Action,1998-12-25,Paramount Pictures
A Civil Action,1998-12-25,"Wildwood Enterprises, Inc"
A Simple Plan,1998-09-11,Mutual Film Company
A Simple Plan,1998-09-11,Savoy Pictures
A Simple Plan,1998-09-11,British Broadcasting Corporation
A Simple Plan,1998-09-11,Tele-München
A Simple Plan,1998-09-11,UGC-PH
A Simple Plan,1998-09-11,Toho-Towa
A Simple Plan,1998-09-11,Marubeni
A Simple Plan,1998-09-11,Newmarket Capital Group
Primary Colors,1998-03-20,Mutual Film Company
Little Voice,1998-12-04,Scala Productions
Bulworth,1998-05-15,Mulholland Productions
Out of Sight,1998-06-26,Jersey Films
Children of Heaven,1999-09-19,Institute for the Intellectual Development of Children and Young Adults
Tango,1998-08-06,Adela Pictures Alma Ata International Pictures Argentina Sono Film Astrolabio Producciones
The Last Days,1998-10-23,Survivors of the Shoah Visual History Foundation
Dancemaker,1999-09-19,Four Oaks Foundation
Lenny Bruce: Swear to Tell the Truth,1998-10-21,Whyaduck Productions
Regret to Inform,1999-09-19,Sun Fountain Productions
A Place in the Land,1999-09-19,The Woodstock Foundation
Election Night,1999-09-19,M&M Productions
Bunny,1998-11-02,Blue Sky Studios
More,1999-09-19,Bad Clams Productions Swell Productions
Pleasantville,1998-10-23,Larger Than Life Productions
A Bug's Life,1998-11-14,Pixar Animation Studios
Mulan,1998-06-05,Walt Disney Feature Animation
Patch Adams,1998-12-25,Blue Wolf Bungalow 78 Productions Farrell/Minoff
The Prince of Egypt,1998-12-16,DreamWorks Pictures
The Prince of Egypt,1998-12-16,DreamWorks Animation
Armageddon,1998-07-01,Touchstone Pictures
Armageddon,1998-07-01,Jerry Bruckheimer Films
Armageddon,1998-07-01,Valhalla Motion Pictures
Babe: Pig in the City,1998-11-25,Kennedy Miller Productions
The Horse Whisperer,1998-05-15,Touchstone Pictures
Quest for Camelot,1998-05-15,Warner Bros.
The Mask of Zorro,1998-07-17,Amblin Entertainment
The Mask of Zorro,1998-07-17,Zorro Productions
What Dreams May Come,1998-10-02,Interscope Communications
Beloved,1998-10-08,Touchstone Pictures
Beloved,1998-10-08,Harpo Films
Beloved,1998-10-08,Clinica Estetico
Velvet Goldmine,1998-05-22,Killer Films
Velvet Goldmine,1998-05-22,Newmarket Capital Group
Velvet Goldmine,1998-05-22,Film Four
Velvet Goldmine,1998-05-22,Goldwyn Films
Mighty Joe Young,1998-12-25,Walt Disney Pictures RKO Pictures The Jacobson Company
American Beauty,1999-09-08,Jinks/Cohen Company
The Cider House Rules,1999-09-07,Miramax Films FilmColony
The Green Mile,1999-12-10,Castle Rock Entertainment
The Green Mile,1999-12-10,Darkwoods Productions
The Insider,1999-11-05,Touchstone Pictures
The Insider,1999-11-05,Spyglass Entertainment
The Insider,1999-11-05,Forward Pass
The Sixth Sense,1999-08-02,Hollywood Pictures
The Sixth Sense,1999-08-02,Spyglass Entertainment
The Sixth Sense,1999-08-02,The Kennedy/Marshall Company
The Sixth Sense,1999-08-02,Barry Mendel Productions
Being John Malkovich,1999-09-02,Gramercy Pictures Propaganda Films Single Cell Pictures
The Straight Story,1999-05-21,Asymmetrical Productions
The Straight Story,1999-05-21,Canal+
The Straight Story,1999-05-21,FilmFour
The Straight Story,1999-05-21,Ciby 2000
The Straight Story,1999-05-21,Le Studio Canal+
Sweet and Lowdown,1999-09-03,Sweetland Films
The Hurricane,1999-09-17,Universal Pictures Beacon Pictures Azoff Films
Boys Don't Cry,1999-10-08,Independent Film Channel Productions
Boys Don't Cry,1999-10-08,Killer Films
Boys Don't Cry,1999-10-08,Hart-Sharp Entertainment
The End of the Affair,1999-12-02,Columbia Pictures
Music of the Heart,1999-09-06,Craven/Maddalena Productions
Magnolia,1999-12-17,Ghoulardi Film Company JoAnne Sellar Productions
The Talented Mr. Ripley,1999-12-12,Mirage Enterprises
The Talented Mr. Ripley,1999-12-12,Timnick Films
"Girl, Interrupted",1999-12-21,Columbia Pictures Red Wagon Entertainment
Topsy-Turvy,1999-09-03,Thin Man Films
Election,1999-04-23,MTV Productions
Election,1999-04-23,Bona Fide Productions
All About My Mother,1999-04-16,El Deseo
All About My Mother,1999-04-16,Renn Productions
All About My Mother,1999-04-16,France 2 Cinéma
All About My Mother,1999-04-16,Via Digital
East/West,1999-08-04,UGC YM
East/West,1999-08-04,Mate Producciones
East/West,1999-08-04,NTV-Profit
East/West,1999-08-04,France 3 Cinéma
Himalaya,1999-09-13,Galatée Films
One Day in September,1999-10-22,BBC Films
One Day in September,1999-10-22,Passion Pictures
Buena Vista Social Club,1999-02-17,Arte
Buena Vista Social Club,1999-02-17,Instituto Cubano del Arte e Industria Cinematográficos
Buena Vista Social Club,1999-02-17,Kintop Pictures
Buena Vista Social Club,1999-02-17,Road Movies Filmproduktion
Buena Vista Social Club,1999-02-17,Wim Wenders Stiftung
Genghis Blues,1999-09-19,Wadi Rum Films
On the Ropes,1999-09-19,Highway Films
Speaking in Strings,1999-10-29,CounterPoint Films
King Gimp,1999-09-19,MedSchool Maryland Productions Tapestry International Productions
My Mother Dreams the Satan's Disciples in New York,1999-09-19,AFI Conservatory
Humdrum,1999-09-19,Aardman Animations Channel 4 Television Corporation Canal+ Premiere
My Grandmother Ironed the King's Shirts,1999-09-19,Studio Magica National Film Board of Canada
The Red Violin,1998-09-02,New Line International Channel 4 Films Mikado Film Rhombus Media Sidecar Films & TV Telefilm Canada
Angela's Ashes,1999-12-25,Paramount Pictures
Angela's Ashes,1999-12-25,Universal Pictures International
Angela's Ashes,1999-12-25,Scott Rudin Productions
Angela's Ashes,1999-12-25,David Brown Productions
Angela's Ashes,1999-12-25,Dirty Hands Productions
Tarzan,1999-06-12,Walt Disney Feature Animation
"South Park: Bigger, Longer & Uncut",1999-06-23,Comedy Central Films Scott Rudin Productions Braniff Productions
Toy Story 2,1999-11-13,Pixar Animation Studios
The Matrix,1999-03-24,Warner Bros. Pictures
The Matrix,1999-03-24,Village Roadshow Pictures
The Matrix,1999-03-24,Groucho II Film Partnership
The Matrix,1999-03-24,Silver Pictures
Fight Club,1999-09-10,Fox 2000 Pictures
Fight Club,1999-09-10,Regency Enterprises
Fight Club,1999-09-10,Linson Films
Star Wars: Episode I –The Phantom Menace,1999-05-16,Lucasfilm Ltd.
The Mummy,1999-05-07,Alphaville Films
Sleepy Hollow,1999-11-17,Paramount Pictures
Sleepy Hollow,1999-11-17,Mandalay Pictures
Sleepy Hollow,1999-11-17,Scott Rudin Productions
Sleepy Hollow,1999-11-17,American Zoetrope
Sleepy Hollow,1999-11-17,Tim Burton Productions
Anna and the King,1999-12-17,Fox 2000 Pictures Lawrence Bender Productions
Snow Falling on Cedars,1999-09-12,Kennedy/Marshall
Austin Powers: The Spy Who Shagged Me,1999-06-11,New Line Cinema
Austin Powers: The Spy Who Shagged Me,1999-06-11,Eric's Boy
Austin Powers: The Spy Who Shagged Me,1999-06-11,Moving Pictures
Austin Powers: The Spy Who Shagged Me,1999-06-11,Team Todd
Bicentennial Man,1999-12-17,Touchstone Pictures
Bicentennial Man,1999-12-17,Columbia Pictures
Bicentennial Man,1999-12-17,1492 Pictures
Bicentennial Man,1999-12-17,Laurence Mark Productions
Bicentennial Man,1999-12-17,Radiant Productions
Life,1999-04-16,Imagine Entertainment
Titus,1999-12-24,Clear Blue Sky Productions
Titus,1999-12-24,Overseas Filmgroup
Titus,1999-12-24,Urania Pictures
Titus,1999-12-24,NDF International
Stuart Little,1999-12-05,Columbia Pictures
Stuart Little,1999-12-05,Red Wagon Entertainment
Stuart Little,1999-12-05,Franklin/Waterman Productions
Stuart Little,1999-12-05,Global Medien KG
Gladiator,2000-05-01,DreamWorks Pictures
Gladiator,2000-05-01,Universal Pictures
Gladiator,2000-05-01,Scott Free Productions
Gladiator,2000-05-01,Red Wagon Entertainment
"Crouching Tiger, Hidden Dragon",2000-05-18,Columbia Pictures Film Production Asia
"Crouching Tiger, Hidden Dragon",2000-05-18,Good Machine International
"Crouching Tiger, Hidden Dragon",2000-05-18,Edko Films
"Crouching Tiger, Hidden Dragon",2000-05-18,Zoom Hunt Productions
"Crouching Tiger, Hidden Dragon",2000-05-18,China Film Co-production Corp.
"Crouching Tiger, Hidden Dragon",2000-05-18,Asia Union Film & Entertainment
Erin Brockovich,2000-03-14,Universal Pictures
Erin Brockovich,2000-03-14,Columbia Pictures
Erin Brockovich,2000-03-14,Jersey Films
Traffic,2000-12-27,Bedford Falls Productions
Traffic,2000-12-27,Laura Bickford Productions
Traffic,2000-12-27,Initial Entertainment Group
Billy Elliot,2000-09-29,Universal Pictures
Billy Elliot,2000-09-29,StudioCanal
Billy Elliot,2000-09-29,BBC Films
Billy Elliot,2000-09-29,Working Title Films
Billy Elliot,2000-09-29,Tiger Aspect Pictures
Before Night Falls,2000-09-03,Grandview Pictures
Cast Away,2000-12-22,20th Century Fox
Cast Away,2000-12-22,DreamWorks Pictures
Cast Away,2000-12-22,ImageMovers
Cast Away,2000-12-22,Playtone
Pollock,2000-09-06,Zeke Films
Pollock,2000-09-06,Brant-Allen Films
Pollock,2000-09-06,Fred Berner Films
Quills,2000-09-02,Industry Entertainment
Quills,2000-09-02,Walrus & Associates
The Contender,2000-10-13,Cinerenta Battleground Productions SE8 Group Cinecontender Productions
Requiem for a Dream,2000-05-14,Thousand Words
Requiem for a Dream,2000-05-14,Protozoa Pictures
You Can Count on Me,2000-01-21,Hart Sharp Entertainment
You Can Count on Me,2000-01-21,The Shooting Gallery
You Can Count on Me,2000-01-21,Cappa Productions
Shadow of the Vampire,2000-05-15,BBC Films
Shadow of the Vampire,2000-05-15,Saturn Films
Almost Famous,2000-09-08,DreamWorks Pictures
Almost Famous,2000-09-08,Columbia Pictures
Almost Famous,2000-09-08,Vinyl Films
"O Brother, Where Art Thou?",2000-05-13,Touchstone Pictures
"O Brother, Where Art Thou?",2000-05-13,Universal Pictures
"O Brother, Where Art Thou?",2000-05-13,StudioCanal
"O Brother, Where Art Thou?",2000-05-13,Working Title Films
"O Brother, Where Art Thou?",2000-05-13,Blind Bard Pictures
Wonder Boys,2000-02-25,Paramount Pictures
Wonder Boys,2000-02-25,BBC Films
Wonder Boys,2000-02-25,Curtis Hanson Productions
Wonder Boys,2000-02-25,Marubeni
Wonder Boys,2000-02-25,MFF Feature Film Productions
Wonder Boys,2000-02-25,Mutual Film Company
Wonder Boys,2000-02-25,Scott Rudin Productions
Wonder Boys,2000-02-25,Tele München Fernseh Produktionsgesellschaft
Wonder Boys,2000-02-25,Toho-Towa
Amores perros,2000-05-14,Zeta Entertainment Alta Vista Films
Into the Arms of Strangers:Stories of the Kindertransport,2000-09-07,Sabine Films United States Holocaust Memorial Museum
Legacy,2000-02-01,Nomadic Pictures
Sound and Fury,1999-09-19,Public Policy Productions
Curtain Call,1999-09-19,Braverman Productions
The Man on Lincoln's Nose,2000-10-20,Adama Films
Quiero ser (I want to be...),1999-09-19,CineCam GmbH Hochschule für Fernsehen und Film München Indigo Filmproduktion
Father and Daughter,1999-09-19,CinéTé Filmproductie Cloudrunner Ltd
Rejected,2000-07-25,Bitter Films
Malèna,2000-10-27,Medusa Film
Malèna,2000-10-27,Miramax Films
Malèna,2000-10-27,Pacific Pictures
Malèna,2000-10-27,Tele+
The Patriot,2000-06-27,Columbia Pictures
The Patriot,2000-06-27,Centropolis Entertainment
The Patriot,2000-06-27,Mutual Film Company
Meet the Parents,2000-10-06,TriBeCa Productions
Meet the Parents,2000-10-06,Nancy Tenenbaum Productions
Dancer in the Dark,2000-05-17,Zentropa Entertainments
Dancer in the Dark,2000-05-17,Canal+
Dancer in the Dark,2000-05-17,FilmFour
Dancer in the Dark,2000-05-17,France 3 Cinéma
The Emperor's New Groove,2000-12-10,Walt Disney Feature Animation
U-571,2000-04-21,Dino De Laurentiis Company
U-571,2000-04-21,Canal+ Image
Space Cowboys,2000-08-04,Village Roadshow Pictures
Space Cowboys,2000-08-04,Clipsal Films
Space Cowboys,2000-08-04,Malpaso Productions
Space Cowboys,2000-08-04,Mad Chance Productions
The Perfect Storm,2000-06-30,Baltimore Spring Creek Pictures
The Perfect Storm,2000-06-30,Radiant Productions
How the Grinch Stole Christmas,2000-11-08,Universal Pictures
How the Grinch Stole Christmas,2000-11-08,Imagine Entertainment
Vatel,1999-09-19,Gaumont
Vatel,1999-09-19,Légende Entreprises
Vatel,1999-09-19,Canal+
Vatel,1999-09-19,Nomad Films
Vatel,1999-09-19,TF1 Films Production
Vatel,1999-09-19,Timothy Burrill Productions
The Cell,2000-08-18,RadicalMedia
102 Dalmatians,2000-11-13,Walt Disney Pictures
Hollow Man,2000-08-04,Columbia Pictures
Hollow Man,2000-08-04,Red Wagon Productions
Hollow Man,2000-08-04,Global Entertainment Productions GmbH & Company Medien KG
A Beautiful Mind,2001-12-13,Universal Pictures
A Beautiful Mind,2001-12-13,DreamWorks Pictures
A Beautiful Mind,2001-12-13,Imagine Entertainment
Gosford Park,2001-11-07,USA Films
Gosford Park,2001-11-07,Capitol Films
Gosford Park,2001-11-07,The Film Council
Gosford Park,2001-11-07,Sandcastle 5 Productions
Gosford Park,2001-11-07,Chicagofilms
Gosford Park,2001-11-07,Medusa Film
In the Bedroom,2001-01-19,Good Machine
In the Bedroom,2001-01-19,Eastern Standard Film Company
In the Bedroom,2001-01-19,GreeneStreet Films
The Lord of the Rings:The Fellowship of the Ring,2001-12-10,WingNut Films
The Lord of the Rings:The Fellowship of the Ring,2001-12-10,New Line Cinema
Moulin Rouge!,2001-05-09,Bazmark Productions
Black Hawk Down,2001-12-28,Columbia Pictures
Black Hawk Down,2001-12-28,Revolution Studios
Black Hawk Down,2001-12-28,Jerry Bruckheimer Films
Black Hawk Down,2001-12-28,Scott Free Productions
Mulholland Drive,2001-05-16,Les Films Alain Sarde
Mulholland Drive,2001-05-16,Asymmetrical Productions
Mulholland Drive,2001-05-16,Babbo Inc.
Mulholland Drive,2001-05-16,Le Studio Canal+
Mulholland Drive,2001-05-16,The Picture Factory
Training Day,2001-09-02,Village Roadshow Pictures
Training Day,2001-09-02,Outlaw Productions
I Am Sam,2001-12-28,The Bedford Falls Company
Ali,2001-12-25,Columbia Pictures
Ali,2001-12-25,Peters Entertainment
Ali,2001-12-25,Forward Pass
Ali,2001-12-25,Overbrook Films
Monster's Ball,2001-11-11,Lee Daniels Entertainment
Iris,2001-12-14,Miramax Films
Iris,2001-12-14,BBC Films
Iris,2001-12-14,Intermedia Films
Iris,2001-12-14,Mirage Enterprises
Iris,2001-12-14,Fox Iris Productions
Bridget Jones's Diary,2001-03-10,Universal Pictures
Bridget Jones's Diary,2001-03-10,StudioCanal
Bridget Jones's Diary,2001-03-10,Working Title Films
Bridget Jones's Diary,2001-03-10,Little Bird
Sexy Beast,2000-09-13,FilmFour Kanzaman S.A. Recorded Picture Company Jeremy Thomas Productions
Amélie,2001-04-25,Claudie Ossard Productions
Amélie,2001-04-25,UGC
Amélie,2001-04-25,Victoires Productions
Amélie,2001-04-25,Tapioca Films
Amélie,2001-04-25,France 3 Cinéma
Amélie,2001-04-25,MMC Independent
Amélie,2001-04-25,Sofica Sofinergie 5
Amélie,2001-04-25,Film- und Medienstiftung NRW
Amélie,2001-04-25,Canal+
Memento,2000-09-05,Summit Entertainment
Memento,2000-09-05,Team Todd
The Royal Tenenbaums,2001-10-05,Touchstone Pictures American Empirical Pictures
Ghost World,2001-06-16,Advanced Medien
Ghost World,2001-06-16,Granada Film
Ghost World,2001-06-16,Jersey Shore
Ghost World,2001-06-16,Mr. Mudd
Shrek,2001-04-22,DreamWorks Animation
Shrek,2001-04-22,PDI/DreamWorks
Jimmy Neutron: Boy Genius,2001-12-21,Nickelodeon Movies
Jimmy Neutron: Boy Genius,2001-12-21,O Entertainment
Jimmy Neutron: Boy Genius,2001-12-21,DNA Productions
"Monsters, Inc.",2001-10-28,Pixar Animation Studios
No Man's Land,2001-09-19,Fabrica Man's Films Studio Maj
Elling,2001-03-16,Maipo Film- og TV Produksjon
Lagaan,2001-06-15,Aamir Khan Productions
Son of the Bride,2001-08-16,Patagonik Film Group Pol-ka
Children Underground,2001-09-19,Belzberg Films
