title,releasedate,budget,boxOffice,runtime,movieLanguage
Amour,2012-05-20,$8.9 million,$36.8 million,128,French
Kon-Tiki,2012-08-24,93 million NOK (c. US$ 15.5 million),$22.8 million,119,Norwegian
No,2012-05-18,,$7.7 million,118,Spanish
A Royal Affair,2012-02-16,"47,7 million kr. ( US$ 7.8 million)",US$ 14.7 million,137,Danish
War Witch,2012-02-17,,"$70,544",90,French
Searching for Sugar Man,2012-01-19,,$9.1 million,86,English
5 Broken Cameras,2011-11-23,,"$108,541  )",94,Arabic
The Gatekeepers,2012-07-10,$1.5 million (€1.3 million),"$2,415,727",95,Hebrew
How to Survive a Plague,2012-01-22,,"$132,055",109,English
The Invisible War,2012-01-20,,"$71,968",97,English
Inocente,2012,,,40,
Kings Point,2012-10-12,,,31,English
Mondays at Racine,2012,,,39,
Open Heart,2012,,,,
Redemption,2012,,,,
Curfew,2012-05-28,,,19,English
ASAD,2012,,,,
Buzkashi Boys,2012-12-07,,,29,Dari
Death of a Shadow,2012-06-04,,,20,Dutch
Henry,2011-08-09,,,21,French
Paperman,2012-11-02,,,6,English
Adam and Dog,2011,,,16,
Fresh Guacamole,2012,,,1,
Head over Heels,,,,10,
The Longest Daycare,2012-07-13,,,4,
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Anna Karenina,2012-09-07,$40.6 million,$68.9 million,130,English
Argo,2012-08-31,$44.5 million,$232.3 million,120,English
Lincoln,2012-10-08,$65 million,$275.3 million,150,English
Skyfall,2012-10-23,$150–200 million,$1.109 billion,143,English
Skyfall,2012-10-23,$150–200 million,$1.109 billion,143,English
Chasing Ice,2012-01-23,,"$1,331,836",75,English
Ted,2012-06-29,$50–65 million,$549.4 million,106,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
Les Misérables,2012-12-05,$61 million,$442.8 million,158,English
Skyfall,2012-10-23,$150–200 million,$1.109 billion,143,English
Zero Dark Thirty,2012-12-10,$40–52.5 million,$132.8 million,157,English
Argo,2012-08-31,$44.5 million,$232.3 million,120,English
Django Unchained,2012-12-11,$100 million,$426 million,165,English
Life of Pi,2012-09-28,$120 million,$609 million,127,English
